wheelsID,size,color,surface,wheelProfile,brand,proModel
1,52,White,Treaded,Wide,Spitfire,"Formula Four"
2,54,White,Treaded,Wide,Spitfire,"Formula Four"
3,56,White,Treaded,Wide,Spitfire,"Formula Four"
4,46,White,Treaded,Wide,"Alien Workshop","Clone Pinkies"
5,52,Tan,Smooth,Medium,"Powell Peralta","Dragon Formula"
6,54,Tan,Smooth,Medium,"Powell Peralta","Dragon Formula"
7,45,Yellow,Treaded,Narrow,Snot,"Lil' Boogers"
8,48,Purple,Treaded,Narrow,Snot,"Lil' Boogers"
9,45,Yellow,Treaded,Narrow,Snot,"Lil' Boogers"
10,48,Purple,Treaded,Narrow,Snot,"Lil' Boogers"
